
Country,Country Code,Region,Region Code,Second Tier Authority,Local Authority,Local Authority Code,Calendar Year,LA CO2 Sector,LA CO2 Sub-sector,Territorial emissions (kt CO2),Emissions within the scope of influence of LAs (kt CO2),Mid-year Population (thousands),Area (km2)
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,LULUCF,LULUCF Net Emissions: Settlements,3.513941945,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector Electricity,31.42656864,31.42656864,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector Gas,34.26800388,34.26800388,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Public Sector,Public Sector 'Other Fuels',0.162622802,0.162622802,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (A roads),191.257289,191.257289,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (Motorways),190.3746809,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Road Transport (Minor roads),194.3490712,194.3490712,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Diesel Railways,5.673842796,0,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2006,Transport,Transport Other,3.468116998,3.468116998,266.816,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial Electricity,132.9204542,132.9204542,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial Gas,52.06546854,52.06546854,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Commercial,Commercial 'Other Fuels',0.450699301,0.450699301,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic Electricity,273.7436718,273.7436718,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic Gas,358.9743148,358.9743148,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Domestic,Domestic 'Other Fuels',14.73431306,14.73431306,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Industry,Industry Electricity,175.8312281,175.8312281,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Industry,Industry Gas,37.11918449,37.11918449,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Industry,Large Industrial Installations,11.84537245,4.935974769,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Industry,Industry 'Other Fuels',74.71293499,74.71293499,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Industry,Agriculture,1.693273241,1.473024547,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,LULUCF,LULUCF Net Emissions: Forest land,-5.921623946,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,LULUCF,LULUCF Net Emissions: Cropland,3.28648945,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,LULUCF,LULUCF Net Emissions: Grassland,-0.210731518,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,LULUCF,LULUCF Net Emissions: Settlements,3.386680735,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Public Sector,Public Sector Electricity,29.56501422,29.56501422,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Public Sector,Public Sector Gas,31.73749598,31.73749598,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Public Sector,Public Sector 'Other Fuels',0.154956579,0.154956579,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Transport,Road Transport (A roads),189.6461954,189.6461954,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Transport,Road Transport (Motorways),193.5476099,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Transport,Road Transport (Minor roads),197.6134438,197.6134438,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Transport,Diesel Railways,6.642174884,0,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2007,Transport,Transport Other,3.406268791,3.406268791,268.319,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Commercial,Commercial Electricity,132.9266022,132.9266022,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Commercial,Commercial Gas,50.76785858,50.76785858,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Commercial,Commercial 'Other Fuels',0.421774071,0.421774071,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Domestic,Domestic Electricity,259.0642643,259.0642643,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Domestic,Domestic Gas,367.8565156,367.8565156,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Domestic,Domestic 'Other Fuels',16.06388563,16.06388563,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Industry,Industry Electricity,175.8393609,175.8393609,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Industry,Industry Gas,36.19407569,36.19407569,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Industry,Large Industrial Installations,11.85673126,5.02672438,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Industry,Industry 'Other Fuels',59.404538,59.404538,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Industry,Agriculture,1.705724243,1.477348889,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,LULUCF,LULUCF Net Emissions: Forest land,-5.988046092,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,LULUCF,LULUCF Net Emissions: Cropland,3.292932483,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,LULUCF,LULUCF Net Emissions: Grassland,-0.42990792,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,LULUCF,LULUCF Net Emissions: Wetlands,-0.112353274,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,LULUCF,LULUCF Net Emissions: Settlements,3.267494052,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Public Sector,Public Sector Electricity,29.56638171,29.56638171,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Public Sector,Public Sector Gas,30.94651317,30.94651317,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Public Sector,Public Sector 'Other Fuels',0.119916058,0.119916058,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Transport,Road Transport (A roads),179.9279149,179.9279149,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Transport,Road Transport (Motorways),181.467164,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Transport,Road Transport (Minor roads),192.4670443,192.4670443,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Transport,Diesel Railways,6.735515699,0,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2008,Transport,Transport Other,3.468976159,3.468976159,270.497,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Commercial,Commercial Electricity,106.2003048,106.2003048,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Commercial,Commercial Gas,43.66237767,43.66237767,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Commercial,Commercial 'Other Fuels',0.333130631,0.333130631,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Domestic,Domestic Electricity,236.9127259,236.9127259,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Domestic,Domestic Gas,331.646825,331.646825,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Domestic,Domestic 'Other Fuels',14.58068829,14.58068829,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Industry,Industry Electricity,140.4850001,140.4850001,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Industry,Industry Gas,31.12834471,31.12834471,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Industry,Large Industrial Installations,11.72509943,4.842261278,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Industry,Industry 'Other Fuels',55.03451493,55.03451493,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,Industry,Agriculture,1.690966077,1.468051072,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,LULUCF,LULUCF Net Emissions: Forest land,-6.021055686,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,LULUCF,LULUCF Net Emissions: Cropland,3.307328258,0,273.049,139.7923
England,E92000001,North West,E12000002,Bolton,Bolton,E08000001,2009,LULUCF,LULUCF Net Emissions: Grassland,-0.594395774,0,273.049,139.7923
